"uri","date","election type","label"
"http://data.parliament.uk/resources/1343259","2021-07-01","By-election","01-July-2021 By-election"
"http://data.parliament.uk/resources/1338058","2021-06-17","By-election","17-June-2021 By-election"
"http://data.parliament.uk/resources/1313486","2021-05-13","By-election","13-May-2021 By-election"
"http://data.parliament.uk/resources/1312651","2021-05-06","By-election","06-May-2021 By-election"
"http://data.parliament.uk/resources/1167964","2019-12-12","General Election","2019 General Election"
"http://data.parliament.uk/resources/1136083","2019-08-01","By-election","01-Aug-2019 By-election"
"http://data.parliament.uk/resources/1124671","2019-06-06","By-election","06-Jun 2019 by-election"
"http://data.parliament.uk/resources/1110050","2019-04-04","By-election","04-April-2019 By-election"
"http://data.parliament.uk/resources/925127","2018-06-14","By-election","14-June-2018 By-election"
"http://data.parliament.uk/resources/900281","2018-05-03","By-election","3-May-2018 By-election"
"http://data.parliament.uk/resources/730039","2017-06-08","General Election","2017 General Election"
"http://data.parliament.uk/resources/694150","2017-02-23","By-election","23-Feb-2017 By-election"
"http://data.parliament.uk/resources/650517","2016-12-08","By-election","08-Dec-2016 By-election"
"http://data.parliament.uk/resources/650516","2016-12-01","By-election","01-Dec-2016 By-election"
"http://data.parliament.uk/resources/607665","2016-10-20","By-election","20-Oct-2016 By-election"
"http://data.parliament.uk/resources/525764","2016-06-16","By-election","16-Jun-2016 By-election"
"http://data.parliament.uk/resources/517994","2016-05-05","By-election","05-May-2016 By-election"
"http://data.parliament.uk/resources/434258","2015-12-03","By-election","03-Dec-2015 By-election"
"http://data.parliament.uk/resources/382386","2015-05-07","General Election","2015 General Election"
"http://data.parliament.uk/resources/382385","2014-11-20","By-election","20-Nov-2014 By-election"
"http://data.parliament.uk/resources/382384","2014-10-09","By-election","09-Oct-2014 By-election"
"http://data.parliament.uk/resources/382383","2014-06-05","By-election","05-Jun-2014 By-election"
"http://data.parliament.uk/resources/382382","2014-02-13","By-election","13-Feb-2014 By election"
"http://data.parliament.uk/resources/382380","2013-05-02","By-election","02-May-2013 By-election"
"http://data.parliament.uk/resources/382379","2013-03-07","By-election","07-Mar-2013 By-election"
"http://data.parliament.uk/resources/382378","2013-02-28","By-election","28-Feb-2013 By-election"
"http://data.parliament.uk/resources/382377","2012-11-29","By-election","29-Nov-2012 By-election"
"http://data.parliament.uk/resources/382376","2012-11-15","By-election","15-Nov-2012 By-election"
"http://data.parliament.uk/resources/382375","2012-03-29","By-election","29-Mar-2012 By-election"
"http://data.parliament.uk/resources/382374","2011-12-15","By-election","15-Dec-2011 By-election"
"http://data.parliament.uk/resources/382373","2011-06-30","By-election","30-Jun-2011 By-election"
"http://data.parliament.uk/resources/382372","2011-06-09","By-election","09-Jun-2011 By-election"
"http://data.parliament.uk/resources/382371","2011-05-05","By-election","05-May-2011 By-election"
"http://data.parliament.uk/resources/382370","2011-03-03","By-election","03-Mar-2011 By-election"
"http://data.parliament.uk/resources/382369","2011-01-13","By-election","13-Jan-2011 By-election"
"http://data.parliament.uk/resources/382037","2010-05-06","General Election","2010 General Election"
"http://data.parliament.uk/resources/382368","2009-11-12","By-election","12-Nov-2009 By-election"
"http://data.parliament.uk/resources/382367","2009-07-23","By-election","23-Jul-2009 By-election"
"http://data.parliament.uk/resources/382366","2008-11-06","By-election","06-Nov-2008 By-election"
"http://data.parliament.uk/resources/382365","2008-07-24","By-election","24-Jul-2008 By-election"
"http://data.parliament.uk/resources/382364","2008-07-10","By-election","10-Jul-2008 By-election"
"http://data.parliament.uk/resources/382363","2008-06-26","By-election","26-Jun-2008 By-election"
"http://data.parliament.uk/resources/382362","2008-05-22","By-election","22-May-2008 By-election"
"http://data.parliament.uk/resources/382361","2007-07-19","By-election","19-Jul-2007 By-election"
"http://data.parliament.uk/resources/382360","2006-06-29","By-election","29-Jun-2006 By-election"
"http://data.parliament.uk/resources/382359","2006-02-09","By-election","09-Feb-2006 By-election"
"http://data.parliament.uk/resources/382358","2005-09-29","By-election","29-Sep-2005 By-election"
"http://data.parliament.uk/resources/382357","2005-07-14","By-election","14-Jul-2005 By-election"
"http://data.parliament.uk/resources/382036","2005-05-05","General Election","2005 General Election"
"http://data.parliament.uk/resources/382356","2004-09-30","By-election","30-Sep-2004 By-election"
"http://data.parliament.uk/resources/382355","2004-07-15","By-election","15-Jul-2004 By-election"
"http://data.parliament.uk/resources/382354","2003-09-18","By-election","18-Sep-2003 By-election"
"http://data.parliament.uk/resources/382353","2002-02-14","By-election","14-Feb-2002 By-election"
"http://data.parliament.uk/resources/382352","2001-11-22","By-election","22-Nov-2001 By-election"
"http://data.parliament.uk/resources/382035","2001-06-07","General Election","2001 General Election"
"http://data.parliament.uk/resources/382351","2000-12-21","By-election","21-Dec-2000 By-election"
"http://data.parliament.uk/resources/382350","2000-11-23","By-election","23-Nov-2000 By-election"
"http://data.parliament.uk/resources/795000","2000-09-21","By-election","21-Sep-2000 By-election"
"http://data.parliament.uk/resources/382349","2000-06-22","By-election","22-Jun-2000 By-election"
"http://data.parliament.uk/resources/382348","2000-05-04","By-election","04-May-2000 By-election"
"http://data.parliament.uk/resources/382347","2000-02-03","By-election","03-Feb-2000 By-election"
"http://data.parliament.uk/resources/382346","1999-11-25","By-election","25-Nov-1999 By-election"
"http://data.parliament.uk/resources/382345","1999-09-23","By-election","23-Sep-1999 By-election"
"http://data.parliament.uk/resources/382344","1999-07-22","By-election","22-Jul-1999 By-election"
"http://data.parliament.uk/resources/382343","1999-06-10","By-election","10-Jun-1999 By-election"
"http://data.parliament.uk/resources/382342","1997-11-20","By-election","20-Nov-1997 By-election"
"http://data.parliament.uk/resources/382341","1997-11-06","By-election","06-Nov-1997 By-election"
"http://data.parliament.uk/resources/382340","1997-07-31","By-election","31-Jul-1997 By-election"
"http://data.parliament.uk/resources/382034","1997-05-01","General Election","1997 General Election"
"http://data.parliament.uk/resources/382339","1997-02-27","By-election","27-Feb-1997 By-election"
"http://data.parliament.uk/resources/382338","1996-12-12","By-election","12-Dec-1996 By-election"
"http://data.parliament.uk/resources/382337","1996-04-11","By-election","11-Apr-1996 By-election"
"http://data.parliament.uk/resources/382336","1996-02-01","By-election","01-Feb-1996 By-election"
"http://data.parliament.uk/resources/382335","1995-07-27","By-election","27-Jul-1995 By-election"
"http://data.parliament.uk/resources/794999","1995-06-15","By-election","15-Jun-1995 By-election"
"http://data.parliament.uk/resources/382334","1995-05-25","By-election","25-May-1995 By-election"
"http://data.parliament.uk/resources/382333","1995-02-16","By-election","16-Feb-1995 By-election"
"http://data.parliament.uk/resources/382332","1994-12-15","By-election","15-Dec-1994 By-election"
"http://data.parliament.uk/resources/382331","1994-06-30","By-election","30-Jun-1994 By-election"
"http://data.parliament.uk/resources/382330","1994-06-09","By-election","09-Jun-1994 By-election"
"http://data.parliament.uk/resources/382329","1994-05-05","By-election","05-May-1994 By-election"
"http://data.parliament.uk/resources/382328","1993-07-29","By-election","29-Jul-1993 By-election"
"http://data.parliament.uk/resources/382327","1993-05-06","By-election","06-May-1993 By-election"
"http://data.parliament.uk/resources/382033","1992-04-09","General Election","1992 General Election"
"http://data.parliament.uk/resources/382326","1991-11-07","By-election","07-Nov-1991 By-election"
"http://data.parliament.uk/resources/382325","1991-07-04","By-election","04-Jul-1991 By-election"
"http://data.parliament.uk/resources/382324","1991-05-16","By-election","16-May-1991 By-election"
"http://data.parliament.uk/resources/382323","1991-04-04","By-election","04-Apr-1991 By-election"
"http://data.parliament.uk/resources/382322","1991-03-07","By-election","07-Mar-1991 By-election"
"http://data.parliament.uk/resources/382321","1990-11-29","By-election","29-Nov-1990 By-election"
"http://data.parliament.uk/resources/382320","1990-11-08","By-election","08-Nov-1990 By-election"
"http://data.parliament.uk/resources/382319","1990-10-18","By-election","18-Oct-1990 By-election"
"http://data.parliament.uk/resources/382318","1990-09-27","By-election","27-Sep-1990 By-election"
"http://data.parliament.uk/resources/382317","1990-05-24","By-election","24-May-1990 By-election"
"http://data.parliament.uk/resources/795001","1990-05-17","By-election","17-May-1990 By-election"
"http://data.parliament.uk/resources/382316","1990-03-22","By-election","22-Mar-1990 By-election"
"http://data.parliament.uk/resources/382315","1989-06-15","By-election","15-Jun-1989 By-election"
"http://data.parliament.uk/resources/382314","1989-05-04","By-election","04-May-1989 By-election"
"http://data.parliament.uk/resources/382313","1989-02-23","By-election","23-Feb-1989 By-election"
"http://data.parliament.uk/resources/382312","1988-12-15","By-election","15-Dec-1988 By-election"
"http://data.parliament.uk/resources/382311","1988-11-10","By-election","10-Nov-1988 By-election"
"http://data.parliament.uk/resources/382310","1988-07-14","By-election","14-Jul-1988 By-election"
"http://data.parliament.uk/resources/382032","1987-06-11","General Election","1987 General Election"
"http://data.parliament.uk/resources/382309","1987-03-12","By-election","12-Mar-1987 By-election"
"http://data.parliament.uk/resources/382308","1987-02-26","By-election","26-Feb-1987 By-election"
"http://data.parliament.uk/resources/382381","1986-11-13","By-election","13-Nov-1986 By-election"
"http://data.parliament.uk/resources/382306","1986-07-17","By-election","17-Jul-1986 By-election"
"http://data.parliament.uk/resources/382305","1986-05-08","By-election","08-May-1986 By-election"
"http://data.parliament.uk/resources/382304","1986-04-10","By-election","10-Apr-1986 By-election"
"http://data.parliament.uk/resources/382307","1986-01-23","By-election","23-Jan-1986 By-election"
"http://data.parliament.uk/resources/382303","1985-12-05","By-election","05-Dec-1985 By-election"
"http://data.parliament.uk/resources/382302","1985-07-04","By-election","04-Jul-1985 By-election"
"http://data.parliament.uk/resources/382301","1984-12-13","By-election","13-Dec-1984 By-election"
"http://data.parliament.uk/resources/382300","1984-06-14","By-election","14-Jun-1984 By-election"
"http://data.parliament.uk/resources/382299","1984-05-03","By-election","03-May-1984 By-election"
"http://data.parliament.uk/resources/382298","1984-03-01","By-election","01-Mar-1984 By-election"
"http://data.parliament.uk/resources/382297","1983-07-28","By-election","28-Jul-1983 By-election"
"http://data.parliament.uk/resources/382031","1983-06-09","General Election","1983 General Election"
"http://data.parliament.uk/resources/382296","1983-03-24","By-election","24-Mar-1983 By-election"
"http://data.parliament.uk/resources/382295","1983-02-24","By-election","24-Feb-1983 By-election"
"http://data.parliament.uk/resources/382294","1982-12-02","By-election","02-Dec-1982 By-election"
"http://data.parliament.uk/resources/382293","1982-10-28","By-election","28-Oct-1982 By-election"
"http://data.parliament.uk/resources/382292","1982-09-16","By-election","16-Sep-1982 By-election"
"http://data.parliament.uk/resources/382291","1982-06-24","By-election","24-Jun-1982 By-election"
"http://data.parliament.uk/resources/382290","1982-06-03","By-election","03-Jun-1982 By-election"
"http://data.parliament.uk/resources/382289","1982-05-27","By-election","27-May-1982 By-election"
"http://data.parliament.uk/resources/382288","1982-03-25","By-election","25-Mar-1982 By-election"
"http://data.parliament.uk/resources/783740","1982-03-04","By-election","04-Mar-1982 By-election"
"http://data.parliament.uk/resources/382287","1981-11-26","By-election","26-Nov-1981 By-election"
"http://data.parliament.uk/resources/382286","1981-10-22","By-election","22-Oct-1981 By-election"
"http://data.parliament.uk/resources/795003","1981-08-20","By-election","20-Aug-1981 By-election"
"http://data.parliament.uk/resources/382285","1981-07-16","By-election","16-Jul-1981 By-election"
"http://data.parliament.uk/resources/795002","1981-04-09","By-election","09-Apr-1981 By-election"
"http://data.parliament.uk/resources/382284","1980-06-26","By-election","26-Jun-1980 By-election"
"http://data.parliament.uk/resources/382283","1980-03-13","By-election","13-Mar-1980 By-election"
"http://data.parliament.uk/resources/382282","1979-12-13","By-election","13-Dec-1979 By-election"
"http://data.parliament.uk/resources/382281","1979-09-27","By-election","27-Sep-1979 By-election"
"http://data.parliament.uk/resources/382030","1979-05-03","General Election","1979 General Election"
"http://data.parliament.uk/resources/382280","1979-03-29","By-election","29-Mar-1979 By-election"
"http://data.parliament.uk/resources/382279","1979-03-01","By-election","01-Mar-1979 By-election"
"http://data.parliament.uk/resources/382278","1978-10-26","By-election","26-Oct-1978 By-election"
"http://data.parliament.uk/resources/382277","1978-07-13","By-election","13-Jul-1978 By-election"
"http://data.parliament.uk/resources/382276","1978-05-31","By-election","31-May-1978 By-election"
"http://data.parliament.uk/resources/382275","1978-04-27","By-election","27-Apr-1978 By-election"
"http://data.parliament.uk/resources/382274","1978-04-20","By-election","20-Apr-1978 By-election"
"http://data.parliament.uk/resources/382273","1978-04-13","By-election","13-Apr-1978 By-election"
"http://data.parliament.uk/resources/382272","1978-03-02","By-election","02-Mar-1978 By-election"
"http://data.parliament.uk/resources/382271","1977-11-24","By-election","24-Nov-1977 By-election"
"http://data.parliament.uk/resources/382270","1977-08-18","By-election","18-Aug-1977 By-election"
"http://data.parliament.uk/resources/382269","1977-07-07","By-election","07-Jul-1977 By-election"
"http://data.parliament.uk/resources/382268","1977-04-28","By-election","28-Apr-1977 By-election"
"http://data.parliament.uk/resources/382267","1977-03-31","By-election","31-Mar-1977 By-election"
"http://data.parliament.uk/resources/382266","1977-02-24","By-election","24-Feb-1977 By-election"
"http://data.parliament.uk/resources/382265","1976-12-02","By-election","02-Dec-1976 By-election"
"http://data.parliament.uk/resources/382264","1976-11-04","By-election","04-Nov-1976 By-election"
"http://data.parliament.uk/resources/382263","1976-07-15","By-election","15-Jul-1976 By-election"
"http://data.parliament.uk/resources/382262","1976-06-24","By-election","24-Jun-1976 By-election"
"http://data.parliament.uk/resources/382261","1976-03-11","By-election","11-Mar-1976 By-election"
"http://data.parliament.uk/resources/382260","1976-03-04","By-election","04-Mar-1976 By-election"
"http://data.parliament.uk/resources/382259","1975-06-26","By-election","26-Jun-1975 By-election"
"http://data.parliament.uk/resources/382029","1974-10-10","General Election","1974 (Oct) General Election"
"http://data.parliament.uk/resources/382258","1974-05-23","By-election","23-May-1974 By-election"
"http://data.parliament.uk/resources/795004","1974-05-04","By-election","04-May-1974 By-election"
"http://data.parliament.uk/resources/382028","1974-02-28","General Election","1974 (Feb) General Election"
"http://data.parliament.uk/resources/382257","1973-11-08","By-election","08-Nov-1973 By-election"
"http://data.parliament.uk/resources/382256","1973-07-26","By-election","26-Jul-1973 By-election"
"http://data.parliament.uk/resources/382255","1973-06-27","By-election","27-Jun-1973 By-election"
"http://data.parliament.uk/resources/382254","1973-05-24","By-election","24-May-1973 By-election"
"http://data.parliament.uk/resources/382253","1973-03-01","By-election","01-Mar-1973 By-election"
"http://data.parliament.uk/resources/382252","1972-12-07","By-election","07-Dec-1972 By-election"
"http://data.parliament.uk/resources/382251","1972-10-26","By-election","26-Oct-1972 By-election"
"http://data.parliament.uk/resources/382250","1972-05-04","By-election","04-May-1972 By-election"
"http://data.parliament.uk/resources/382249","1972-04-13","By-election","13-Apr-1972 By-election"
"http://data.parliament.uk/resources/382248","1971-09-30","By-election","30-Sep-1971 By-election"
"http://data.parliament.uk/resources/382247","1971-09-23","By-election","23-Sep-1971 By-election"
"http://data.parliament.uk/resources/382246","1971-09-16","By-election","16-Sep-1971 By-election"
"http://data.parliament.uk/resources/382245","1971-07-08","By-election","08-Jul-1971 By-election"
"http://data.parliament.uk/resources/382244","1971-06-17","By-election","17-Jun-1971 By-election"
"http://data.parliament.uk/resources/382243","1971-05-27","By-election","27-May-1971 By-election"
"http://data.parliament.uk/resources/382242","1971-04-01","By-election","01-Apr-1971 By-election"
"http://data.parliament.uk/resources/382241","1970-11-19","By-election","19-Nov-1970 By-election"
"http://data.parliament.uk/resources/382240","1970-10-22","By-election","22-Oct-1970 By-election"
"http://data.parliament.uk/resources/382027","1970-06-18","General Election","1970 General Election"
"http://data.parliament.uk/resources/382239","1970-03-19","By-election","19-Mar-1970 By-election"
"http://data.parliament.uk/resources/382238","1970-03-12","By-election","12-Mar-1970 By-election"
"http://data.parliament.uk/resources/382237","1969-12-04","By-election","04-Dec-1969 By-election"
"http://data.parliament.uk/resources/382236","1969-10-30","By-election","30-Oct-1969 By-election"
"http://data.parliament.uk/resources/382235","1969-06-26","By-election","26-Jun-1969 By-election"
"http://data.parliament.uk/resources/382234","1969-05-22","By-election","22-May-1969 By-election"
"http://data.parliament.uk/resources/795153","1969-04-17","By-election","17-Apr-1969 By-election"
"http://data.parliament.uk/resources/382233","1969-03-27","By-election","27-Mar-1969 By-election"
"http://data.parliament.uk/resources/382232","1968-11-07","By-election","07-Nov-1968 By-election"
"http://data.parliament.uk/resources/382231","1968-10-31","By-election","31-Oct-1968 By-election"
"http://data.parliament.uk/resources/382230","1968-07-18","By-election","18-Jul-1968 By-election"
"http://data.parliament.uk/resources/382229","1968-06-27","By-election","27-Jun-1968 By-election"
"http://data.parliament.uk/resources/382228","1968-06-13","By-election","13-Jun-1968 By-election"
"http://data.parliament.uk/resources/382227","1968-03-28","By-election","28-Mar-1968 By-election"
"http://data.parliament.uk/resources/382226","1968-03-14","By-election","14-Mar-1968 By-election"
"http://data.parliament.uk/resources/382225","1967-11-23","By-election","23-Nov-1967 By-election"
"http://data.parliament.uk/resources/382224","1967-11-02","By-election","02-Nov-1967 By-election"
"http://data.parliament.uk/resources/382223","1967-09-21","By-election","21-Sep-1967 By-election"
"http://data.parliament.uk/resources/382222","1967-04-27","By-election","27-Apr-1967 By-election"
"http://data.parliament.uk/resources/382221","1967-03-16","By-election","16-Mar-1967 By-election"
"http://data.parliament.uk/resources/382220","1967-03-09","By-election","09-Mar-1967 By-election"
"http://data.parliament.uk/resources/382219","1966-07-14","By-election","14-Jul-1966 By-election"
"http://data.parliament.uk/resources/382026","1966-03-31","General Election","1966 General Election"
"http://data.parliament.uk/resources/382218","1966-01-27","By-election","27-Jan-1966 By-election"
"http://data.parliament.uk/resources/382217","1965-11-11","By-election","11-Nov-1965 By-election"
"http://data.parliament.uk/resources/382216","1965-11-04","By-election","04-Nov-1965 By-election"
"http://data.parliament.uk/resources/382215","1965-07-22","By-election","22-Jul-1965 By-election"
"http://data.parliament.uk/resources/382214","1965-05-06","By-election","06-May-1965 By-election"
"http://data.parliament.uk/resources/382213","1965-04-01","By-election","01-Apr-1965 By-election"
"http://data.parliament.uk/resources/382212","1965-03-24","By-election","24-Mar-1965 By-election"
"http://data.parliament.uk/resources/382211","1965-03-23","By-election","23-Mar-1965 By-election"
"http://data.parliament.uk/resources/382210","1965-02-04","By-election","04-Feb-1965 By-election"
"http://data.parliament.uk/resources/382209","1965-01-21","By-election","21-Jan-1965 By-election"
"http://data.parliament.uk/resources/382025","1964-10-15","General Election","1964 General Election"
"http://data.parliament.uk/resources/382208","1964-06-11","By-election","11-Jun-1964 By-election"
"http://data.parliament.uk/resources/382207","1964-06-04","By-election","04-Jun-1964 By-election"
"http://data.parliament.uk/resources/382206","1964-05-14","By-election","14-May-1964 By-election"
"http://data.parliament.uk/resources/382205","1963-12-12","By-election","12-Dec-1963 By-election"
"http://data.parliament.uk/resources/382204","1963-12-05","By-election","05-Dec-1963 By-election"
"http://data.parliament.uk/resources/382203","1963-11-21","By-election","21-Nov-1963 By-election"
"http://data.parliament.uk/resources/382202","1963-11-07","By-election","07-Nov-1963 By-election"
"http://data.parliament.uk/resources/382201","1963-08-20","By-election","20-Aug-1963 By-election"
"http://data.parliament.uk/resources/382200","1963-08-15","By-election","15-Aug-1963 By-election"
"http://data.parliament.uk/resources/382199","1963-07-04","By-election","04-Jul-1963 By-election"
"http://data.parliament.uk/resources/382198","1963-06-20","By-election","20-Jun-1963 By-election"
"http://data.parliament.uk/resources/382197","1963-03-28","By-election","28-Mar-1963 By-election"
"http://data.parliament.uk/resources/382196","1963-03-21","By-election","21-Mar-1963 By-election"
"http://data.parliament.uk/resources/382195","1962-11-22","By-election","22-Nov-1962 By-election"
"http://data.parliament.uk/resources/382194","1962-07-12","By-election","12-Jul-1962 By-election"
"http://data.parliament.uk/resources/382193","1962-06-14","By-election","14-Jun-1962 By-election"
"http://data.parliament.uk/resources/382192","1962-06-06","By-election","06-Jun-1962 By-election"
"http://data.parliament.uk/resources/382191","1962-05-15","By-election","15-May-1962 By-election"
"http://data.parliament.uk/resources/382190","1962-04-17","By-election","17-Apr-1962 By-election"
"http://data.parliament.uk/resources/382189","1962-04-05","By-election","05-Apr-1962 By-election"
"http://data.parliament.uk/resources/382188","1962-03-22","By-election","22-Mar-1962 By-election"
"http://data.parliament.uk/resources/382187","1962-03-14","By-election","14-Mar-1962 By-election"
"http://data.parliament.uk/resources/382186","1962-03-13","By-election","13-Mar-1962 By-election"
"http://data.parliament.uk/resources/382185","1962-03-08","By-election","08-Mar-1962 By-election"
"http://data.parliament.uk/resources/382184","1961-11-16","By-election","16-Nov-1961 By-election"
"http://data.parliament.uk/resources/382183","1961-11-08","By-election","08-Nov-1961 By-election"
"http://data.parliament.uk/resources/382182","1961-11-07","By-election","07-Nov-1961 By-election"
"http://data.parliament.uk/resources/382181","1961-05-04","By-election","04-May-1961 By-election"
"http://data.parliament.uk/resources/382180","1961-04-20","By-election","20-Apr-1961 By-election"
"http://data.parliament.uk/resources/382179","1961-03-23","By-election","23-Mar-1961 By-election"
"http://data.parliament.uk/resources/382178","1961-03-16","By-election","16-Mar-1961 By-election"
"http://data.parliament.uk/resources/382177","1960-11-24","By-election","24-Nov-1960 By-election"
"http://data.parliament.uk/resources/382176","1960-11-17","By-election","17-Nov-1960 By-election"
"http://data.parliament.uk/resources/382175","1960-11-16","By-election","16-Nov-1960 By-election"
"http://data.parliament.uk/resources/382174","1960-05-19","By-election","19-May-1960 By-election"
"http://data.parliament.uk/resources/382173","1960-03-17","By-election","17-Mar-1960 By-election"
"http://data.parliament.uk/resources/382024","1959-10-08","General Election","1959 General Election"
"http://data.parliament.uk/resources/382172","1959-06-18","By-election","18-Jun-1959 By-election"
"http://data.parliament.uk/resources/382171","1959-06-11","By-election","11-Jun-1959 By-election"
"http://data.parliament.uk/resources/382170","1959-04-09","By-election","09-Apr-1959 By-election"
"http://data.parliament.uk/resources/382169","1959-03-25","By-election","25-Mar-1959 By-election"
"http://data.parliament.uk/resources/382168","1959-03-19","By-election","19-Mar-1959 By-election"
"http://data.parliament.uk/resources/382167","1959-01-29","By-election","29-Jan-1959 By-election"
"http://data.parliament.uk/resources/382166","1958-11-27","By-election","27-Nov-1958 By-election"
"http://data.parliament.uk/resources/382165","1958-11-20","By-election","20-Nov-1958 By-election"
"http://data.parliament.uk/resources/382164","1958-11-10","By-election","10-Nov-1958 By-election"
"http://data.parliament.uk/resources/382163","1958-11-06","By-election","06-Nov-1958 By-election"
"http://data.parliament.uk/resources/382162","1958-06-12","By-election","12-Jun-1958 By-election"
"http://data.parliament.uk/resources/382161","1958-05-15","By-election","15-May-1958 By-election"
"http://data.parliament.uk/resources/382160","1958-03-27","By-election","27-Mar-1958 By-election"
"http://data.parliament.uk/resources/382159","1958-03-13","By-election","13-Mar-1958 By-election"
"http://data.parliament.uk/resources/382158","1958-02-12","By-election","12-Feb-1958 By-election"
"http://data.parliament.uk/resources/382157","1957-12-05","By-election","05-Dec-1957 By-election"
"http://data.parliament.uk/resources/382156","1957-11-28","By-election","28-Nov-1957 By-election"
"http://data.parliament.uk/resources/382155","1957-10-24","By-election","24-Oct-1957 By-election"
"http://data.parliament.uk/resources/382154","1957-09-12","By-election","12-Sep-1957 By-election"
"http://data.parliament.uk/resources/382153","1957-06-27","By-election","27-Jun-1957 By-election"
"http://data.parliament.uk/resources/382152","1957-05-30","By-election","30-May-1957 By-election"
"http://data.parliament.uk/resources/382151","1957-05-29","By-election","29-May-1957 By-election"
"http://data.parliament.uk/resources/382150","1957-03-21","By-election","21-Mar-1957 By-election"
"http://data.parliament.uk/resources/382149","1957-03-07","By-election","07-Mar-1957 By-election"
"http://data.parliament.uk/resources/382148","1957-02-28","By-election","28-Feb-1957 By-election"
"http://data.parliament.uk/resources/382147","1957-02-14","By-election","14-Feb-1957 By-election"
"http://data.parliament.uk/resources/382146","1956-12-19","By-election","19-Dec-1956 By-election"
"http://data.parliament.uk/resources/382145","1956-11-15","By-election","15-Nov-1956 By-election"
"http://data.parliament.uk/resources/382144","1956-09-27","By-election","27-Sep-1956 By-election"
"http://data.parliament.uk/resources/382143","1956-07-06","By-election","06-Jul-1956 By-election"
"http://data.parliament.uk/resources/382142","1956-06-07","By-election","07-Jun-1956 By-election"
"http://data.parliament.uk/resources/382141","1956-03-01","By-election","01-Mar-1956 By-election"
"http://data.parliament.uk/resources/382140","1956-02-14","By-election","14-Feb-1956 By-election"
"http://data.parliament.uk/resources/382139","1956-02-09","By-election","09-Feb-1956 By-election"
"http://data.parliament.uk/resources/382138","1956-02-02","By-election","02-Feb-1956 By-election"
"http://data.parliament.uk/resources/382137","1955-12-15","By-election","15-Dec-1955 By-election"
"http://data.parliament.uk/resources/382136","1955-12-08","By-election","08-Dec-1955 By-election"
"http://data.parliament.uk/resources/382135","1955-12-07","By-election","07-Dec-1955 By-election"
"http://data.parliament.uk/resources/795154","1955-08-11","By-election","11-Aug-1955 By-election"
"http://data.parliament.uk/resources/382023","1955-05-26","General Election","1955 General Election"
"http://data.parliament.uk/resources/382134","1955-03-17","By-election","17-Mar-1955 By-election"
"http://data.parliament.uk/resources/382133","1955-02-03","By-election","03-Feb-1955 By-election"
"http://data.parliament.uk/resources/382132","1955-01-27","By-election","27-Jan-1955 By-election"
"http://data.parliament.uk/resources/382131","1955-01-25","By-election","25-Jan-1955 By-election"
"http://data.parliament.uk/resources/382130","1955-01-20","By-election","20-Jan-1955 By-election"
"http://data.parliament.uk/resources/382129","1955-01-13","By-election","13-Jan-1955 By-election"
"http://data.parliament.uk/resources/382128","1954-12-21","By-election","21-Dec-1954 By-election"
"http://data.parliament.uk/resources/382127","1954-11-18","By-election","18-Nov-1954 By-election"
"http://data.parliament.uk/resources/382126","1954-11-04","By-election","04-Nov-1954 By-election"
"http://data.parliament.uk/resources/382125","1954-10-28","By-election","28-Oct-1954 By-election"
"http://data.parliament.uk/resources/382124","1954-10-21","By-election","21-Oct-1954 By-election"
"http://data.parliament.uk/resources/382123","1954-09-30","By-election","30-Sep-1954 By-election"
