"uri","constituency > label","election > label","electorate","majority","result of election","turnout"
"http://data.parliament.uk/resources/382472","Livingston","2010 General Election","75924","10791","Lab Hold","47907"
"http://data.parliament.uk/resources/382474","Midlothian","2010 General Election","61387","10349","Lab Hold","39242"
"http://data.parliament.uk/resources/382476","Moray","2010 General Election","65925","5590","SNP Hold","41004"
"http://data.parliament.uk/resources/382478","Motherwell and Wishaw","2010 General Election","66918","16806","Lab Hold","39123"
"http://data.parliament.uk/resources/382480","Na h-Eileanan an Iar","2010 General Election","21780","1885","SNP Hold","14717"
"http://data.parliament.uk/resources/382482","North Ayrshire and Arran","2010 General Election","74223","9895","Lab Hold","46116"
"http://data.parliament.uk/resources/382484","North East Fife","2010 General Election","62771","9048","LD Hold","40064"
"http://data.parliament.uk/resources/382486","Ochil and South Perthshire","2010 General Election","75115","5187","Lab Hold","50469"
"http://data.parliament.uk/resources/382488","Orkney and Shetland","2010 General Election","33085","9928","LD Hold","19346"
"http://data.parliament.uk/resources/382490","Paisley and Renfrewshire North","2010 General Election","63704","15280","Lab Hold","43707"
"http://data.parliament.uk/resources/382492","Paisley and Renfrewshire South","2010 General Election","61197","16614","Lab Hold","39998"
"http://data.parliament.uk/resources/382494","Perth and North Perthshire","2010 General Election","72141","4379","SNP Hold","48268"
"http://data.parliament.uk/resources/382496","Ross, Skye and Lochaber","2010 General Election","51836","13070","LD Hold","34838"
"http://data.parliament.uk/resources/382498","Rutherglen and Hamilton West","2010 General Election","76408","21002","Lab Hold","46981"
"http://data.parliament.uk/resources/382500","Stirling","2010 General Election","66080","8304","Lab Hold","46841"
"http://data.parliament.uk/resources/382502","West Aberdeenshire and Kincardine","2010 General Election","66110","3684","LD Hold","45195"
"http://data.parliament.uk/resources/382504","West Dunbartonshire","2010 General Election","66086","17408","Lab Hold","42266"
"http://data.parliament.uk/resources/382506","Aberavon","2010 General Election","50838","11039","Lab Hold","30958"
"http://data.parliament.uk/resources/382508","Aberconwy","2010 General Election","44593","3398","Con Gain","29966"
"http://data.parliament.uk/resources/382510","Aldershot","2010 General Election","71465","5586","Con Hold","45384"
"http://data.parliament.uk/resources/382512","Aldridge-Brownhills","2010 General Election","58909","15266","Con Hold","38634"
"http://data.parliament.uk/resources/382514","Altrincham and Sale West","2010 General Election","72208","11595","Con Hold","49393"
"http://data.parliament.uk/resources/382516","Alyn and Deeside","2010 General Election","60931","2919","Lab Hold","39923"
"http://data.parliament.uk/resources/382518","Amber Valley","2010 General Election","70171","536","Con Gain","45958"
"http://data.parliament.uk/resources/382520","Arfon","2010 General Election","41198","1455","PC Gain","26078"
"http://data.parliament.uk/resources/382522","Arundel and South Downs","2010 General Election","76835","16691","Con Hold","55982"
"http://data.parliament.uk/resources/382524","Ashfield","2010 General Election","77379","192","Lab Hold","48196"
"http://data.parliament.uk/resources/382526","Ashford","2010 General Election","81271","17297","Con Hold","55185"
"http://data.parliament.uk/resources/382528","Ashton-under-Lyne","2010 General Election","67714","9094","Lab Hold","38432"
"http://data.parliament.uk/resources/382530","Aylesbury","2010 General Election","77844","12618","Con Hold","53162"
"http://data.parliament.uk/resources/382532","Banbury","2010 General Election","84379","18227","Con Hold","56241"
"http://data.parliament.uk/resources/382534","Barking","2010 General Election","73868","16555","Lab Hold","45343"
"http://data.parliament.uk/resources/382536","Barnsley Central","2010 General Election","65543","11093","Lab Hold","37001"
"http://data.parliament.uk/resources/382539","Barnsley East","2010 General Election","68435","11090","Lab Hold","38386"
"http://data.parliament.uk/resources/382541","Barrow and Furness","2010 General Election","68943","5208","Lab Hold","44124"
"http://data.parliament.uk/resources/382543","Basildon and Billericay","2010 General Election","65515","12338","Con Hold","41569"
"http://data.parliament.uk/resources/382545","Basingstoke","2010 General Election","75473","13176","Con Hold","50654"
"http://data.parliament.uk/resources/382547","Bassetlaw","2010 General Election","76513","8215","Lab Hold","49577"
"http://data.parliament.uk/resources/382549","Bath","2010 General Election","66686","11883","LD Hold","47086"
"http://data.parliament.uk/resources/382551","Batley and Spen","2010 General Election","76738","4406","Lab Hold","51109"
"http://data.parliament.uk/resources/382553","Battersea","2010 General Election","74311","5977","Con Gain","48792"
"http://data.parliament.uk/resources/382555","Beaconsfield","2010 General Election","74982","21782","Con Hold","52490"
"http://data.parliament.uk/resources/382557","Beckenham","2010 General Election","66219","17784","Con Hold","47686"
"http://data.parliament.uk/resources/382559","Bedford","2010 General Election","68530","1353","Con Gain","45102"
"http://data.parliament.uk/resources/382561","Belfast East","2010 General Election","59007","1533","Alliance Gain","34488"
"http://data.parliament.uk/resources/382563","Belfast North","2010 General Election","65504","2224","DUP Hold","36993"
"http://data.parliament.uk/resources/382565","Belfast South","2010 General Election","59524","5926","SDLP Hold","34186"
"http://data.parliament.uk/resources/382567","Belfast West","2010 General Election","59522","17579","SF Hold","32133"
"http://data.parliament.uk/resources/382570","Bermondsey and Old Southwark","2010 General Election","77628","8530","LD Hold","44651"
"http://data.parliament.uk/resources/382572","Berwick-upon-Tweed","2010 General Election","56578","2690","LD Hold","38439"
"http://data.parliament.uk/resources/382574","Bethnal Green and Bow","2010 General Election","81243","11574","Lab Gain","50728"
"http://data.parliament.uk/resources/382576","Beverley and Holderness","2010 General Election","79318","12987","Con Hold","53199"
"http://data.parliament.uk/resources/382578","Bexhill and Battle","2010 General Election","81032","12880","Con Hold","54587"
"http://data.parliament.uk/resources/382580","Bexleyheath and Crayford","2010 General Election","65015","10344","Con Hold","43182"
"http://data.parliament.uk/resources/382582","Birkenhead","2010 General Election","62773","15395","Lab Hold","35323"
"http://data.parliament.uk/resources/382584","Birmingham, Edgbaston","2010 General Election","68573","1274","Lab Hold","41571"
"http://data.parliament.uk/resources/382586","Birmingham, Erdington","2010 General Election","66405","3277","Lab Hold","35546"
"http://data.parliament.uk/resources/382588","Birmingham, Hall Green","2010 General Election","76580","3799","Lab Hold","48727"
"http://data.parliament.uk/resources/382590","Birmingham, Hodge Hill","2010 General Election","75040","10302","Lab Hold","42472"
"http://data.parliament.uk/resources/382592","Birmingham, Ladywood","2010 General Election","73646","10105","Lab Hold","35833"
"http://data.parliament.uk/resources/382594","Birmingham, Northfield","2010 General Election","71338","2782","Lab Hold","41814"
"http://data.parliament.uk/resources/382596","Birmingham, Perry Barr","2010 General Election","71304","11908","Lab Hold","42045"
"http://data.parliament.uk/resources/382598","Birmingham, Selly Oak","2010 General Election","74805","3482","Lab Hold","46563"
"http://data.parliament.uk/resources/382600","Birmingham, Yardley","2010 General Election","72321","3002","LD Hold","40850"
"http://data.parliament.uk/resources/382602","Bishop Auckland","2010 General Election","68368","5218","Lab Hold","41136"
"http://data.parliament.uk/resources/382604","Blackburn","2010 General Election","72331","9856","Lab Hold","45499"
"http://data.parliament.uk/resources/382606","Blackley and Broughton","2010 General Election","69489","12303","Lab Hold","34204"
"http://data.parliament.uk/resources/382608","Blackpool North and Cleveleys","2010 General Election","66017","2150","Con Gain","40591"
"http://data.parliament.uk/resources/382610","Blackpool South","2010 General Election","63027","1852","Lab Hold","35192"
"http://data.parliament.uk/resources/382612","Blaenau Gwent","2010 General Election","52442","10516","Lab Gain","32395"
"http://data.parliament.uk/resources/382614","Blaydon","2010 General Election","67808","9117","Lab Hold","44913"
"http://data.parliament.uk/resources/382616","Blyth Valley","2010 General Election","62900","6668","Lab Hold","38566"
"http://data.parliament.uk/resources/382618","Bognor Regis and Littlehampton","2010 General Election","70816","13063","Con Hold","46852"
"http://data.parliament.uk/resources/382620","Bolsover","2010 General Election","72766","11182","Lab Hold","43988"
"http://data.parliament.uk/resources/382622","Bolton North East","2010 General Election","66846","4084","Lab Hold","43277"
"http://data.parliament.uk/resources/382624","Bolton South East","2010 General Election","69499","8634","Lab Hold","39604"
"http://data.parliament.uk/resources/382626","Bolton West","2010 General Election","71284","92","Lab Hold","47576"
"http://data.parliament.uk/resources/382628","Bootle","2010 General Election","71422","21181","Lab Hold","41277"
"http://data.parliament.uk/resources/382630","Boston and Skegness","2010 General Election","67186","12426","Con Hold","43125"
"http://data.parliament.uk/resources/382632","Bosworth","2010 General Election","77296","5032","Con Hold","54274"
"http://data.parliament.uk/resources/382634","Bournemouth East","2010 General Election","71125","7728","Con Hold","44024"
"http://data.parliament.uk/resources/382636","Bournemouth West","2010 General Election","71753","5583","Con Hold","41659"
"http://data.parliament.uk/resources/382638","Bracknell","2010 General Election","76888","15704","Con Hold","52136"
"http://data.parliament.uk/resources/382640","Bradford East","2010 General Election","65116","365","LD Gain","40457"
"http://data.parliament.uk/resources/382642","Bradford South","2010 General Election","63580","4622","Lab Hold","37995"
"http://data.parliament.uk/resources/382644","Bradford West","2010 General Election","62519","5763","Lab Hold","40576"
"http://data.parliament.uk/resources/382647","Braintree","2010 General Election","71163","16121","Con Hold","49203"
"http://data.parliament.uk/resources/382649","Brecon and Radnorshire","2010 General Election","53589","3747","LD Hold","38845"
"http://data.parliament.uk/resources/382651","Brent Central","2010 General Election","74046","1345","LD Gain","45323"
"http://data.parliament.uk/resources/382653","Brent North","2010 General Election","83896","8028","Lab Hold","52298"
"http://data.parliament.uk/resources/382655","Brentford and Isleworth","2010 General Election","83546","1958","Con Gain","53765"
"http://data.parliament.uk/resources/382657","Brentwood and Ongar","2010 General Election","69309","16921","Con Hold","50592"
"http://data.parliament.uk/resources/382659","Bridgend","2010 General Election","58700","2263","Lab Hold","38347"
"http://data.parliament.uk/resources/382661","Bridgwater and West Somerset","2010 General Election","82180","9249","Con Hold","54493"
"http://data.parliament.uk/resources/382663","Brigg and Goole","2010 General Election","67345","5147","Con Gain","43874"
"http://data.parliament.uk/resources/382665","Brighton, Kemptown","2010 General Election","66015","1328","Con Gain","42705"
"http://data.parliament.uk/resources/382667","Brighton, Pavilion","2010 General Election","74009","1252","Green Gain","51834"
"http://data.parliament.uk/resources/382669","Bristol East","2010 General Election","69448","3722","Lab Hold","45017"
"http://data.parliament.uk/resources/382671","Bristol North West","2010 General Election","73469","3274","Con Gain","50336"
"http://data.parliament.uk/resources/382673","Bristol South","2010 General Election","78579","4734","Lab Hold","48377"
"http://data.parliament.uk/resources/382675","Bristol West","2010 General Election","82728","11366","LD Hold","55347"
"http://data.parliament.uk/resources/382677","Broadland","2010 General Election","72445","7292","Con Hold","52676"
"http://data.parliament.uk/resources/382679","Bromley and Chislehurst","2010 General Election","65427","13900","Con Hold","44037"
"http://data.parliament.uk/resources/382681","Bromsgrove","2010 General Election","73036","11308","Con Hold","51630"
"http://data.parliament.uk/resources/382683","Broxbourne","2010 General Election","71391","18804","Con Hold","45658"
"http://data.parliament.uk/resources/382685","Broxtowe","2010 General Election","72042","389","Con Gain","52727"
"http://data.parliament.uk/resources/382687","Buckingham","2010 General Election","74989","12529","SPK Gain","48335"
"http://data.parliament.uk/resources/382689","Burnley","2010 General Election","66615","1818","LD Gain","41845"
"http://data.parliament.uk/resources/382691","Burton","2010 General Election","74874","6304","Con Gain","49823"
"http://data.parliament.uk/resources/382693","Bury North","2010 General Election","66759","2243","Con Gain","44961"
"http://data.parliament.uk/resources/382695","Bury South","2010 General Election","73544","3292","Lab Hold","48267"
"http://data.parliament.uk/resources/382697","Bury St Edmunds","2010 General Election","84716","12380","Con Hold","58718"
"http://data.parliament.uk/resources/382699","Caerphilly","2010 General Election","62122","10755","Lab Hold","38692"
"http://data.parliament.uk/resources/382701","Calder Valley","2010 General Election","76903","6431","Con Gain","51780"
"http://data.parliament.uk/resources/382703","Camberwell and Peckham","2010 General Election","78627","17187","Lab Hold","46659"
"http://data.parliament.uk/resources/382705","Camborne and Redruth","2010 General Election","63975","66","Con Gain","42493"
"http://data.parliament.uk/resources/382707","Cambridge","2010 General Election","74699","6792","LD Hold","50130"
"http://data.parliament.uk/resources/382709","Cannock Chase","2010 General Election","74508","3195","Con Gain","45559"
"http://data.parliament.uk/resources/382711","Canterbury","2010 General Election","74121","6048","Con Hold","49209"
"http://data.parliament.uk/resources/382713","Cardiff Central","2010 General Election","61165","4576","LD Hold","36151"
"http://data.parliament.uk/resources/382715","Cardiff North","2010 General Election","65553","194","Con Gain","47630"
"http://data.parliament.uk/resources/382717","Cardiff South and Penarth","2010 General Election","73707","4709","Lab Hold","44369"
"http://data.parliament.uk/resources/382720","Cardiff West","2010 General Election","62787","4751","Lab Hold","40958"
"http://data.parliament.uk/resources/382722","Carlisle","2010 General Election","65263","853","Con Gain","42200"
"http://data.parliament.uk/resources/382724","Carmarthen East and Dinefwr","2010 General Election","52385","3481","PC Hold","38011"
"http://data.parliament.uk/resources/382726","Carmarthen West and South Pembrokeshire","2010 General Election","58108","3423","Con Gain","40507"
"http://data.parliament.uk/resources/382728","Carshalton and Wallington","2010 General Election","66524","5260","LD Hold","45918"
"http://data.parliament.uk/resources/382730","Castle Point","2010 General Election","67284","7632","Con Hold","45026"
"http://data.parliament.uk/resources/382732","Central Devon","2010 General Election","71203","9230","Con Hold","53873"
"http://data.parliament.uk/resources/382734","Central Suffolk and North Ipswich","2010 General Election","75786","13786","Con Hold","53420"
"http://data.parliament.uk/resources/382736","Ceredigion","2010 General Election","59882","8324","LD Hold","38258"
"http://data.parliament.uk/resources/382738","Charnwood","2010 General Election","74473","15029","Con Hold","53542"
"http://data.parliament.uk/resources/382740","Chatham and Aylesford","2010 General Election","67964","6069","Con Gain","43807"
"http://data.parliament.uk/resources/382742","Cheadle","2010 General Election","71635","3272","LD Hold","52512"
"http://data.parliament.uk/resources/382744","Chelmsford","2010 General Election","77525","5110","Con Hold","54593"
"http://data.parliament.uk/resources/382746","Chelsea and Fulham","2010 General Election","66257","16722","Con Hold","39856"
"http://data.parliament.uk/resources/382748","Cheltenham","2010 General Election","78998","4920","LD Hold","52786"
"http://data.parliament.uk/resources/382750","Chesham and Amersham","2010 General Election","70333","16710","Con Hold","52444"
"http://data.parliament.uk/resources/382752","Chesterfield","2010 General Election","71878","549","Lab Gain","45839"
"http://data.parliament.uk/resources/382754","Chichester","2010 General Election","81576","15877","Con Hold","56787"
"http://data.parliament.uk/resources/382756","Chingford and Woodford Green","2010 General Election","64831","12963","Con Hold","43106"
"http://data.parliament.uk/resources/382758","Chippenham","2010 General Election","72106","2470","LD Hold","52385"
"http://data.parliament.uk/resources/382760","Chipping Barnet","2010 General Election","75120","11927","Con Hold","50608"
"http://data.parliament.uk/resources/382762","Chorley","2010 General Election","70976","2593","Lab Hold","49774"
"http://data.parliament.uk/resources/382764","Christchurch","2010 General Election","68859","15410","Con Hold","49416"
"http://data.parliament.uk/resources/382766","Cities of London and Westminster","2010 General Election","66849","11076","Con Hold","36931"
"http://data.parliament.uk/resources/382768","City of Chester","2010 General Election","70131","2583","Con Gain","46790"
"http://data.parliament.uk/resources/382770","City of Durham","2010 General Election","68832","3067","Lab Hold","46252"
"http://data.parliament.uk/resources/382772","Clacton","2010 General Election","67194","12068","Con Hold","43123"
"http://data.parliament.uk/resources/382775","Cleethorpes","2010 General Election","70214","4298","Con Gain","44966"
"http://data.parliament.uk/resources/382777","Clwyd South","2010 General Election","53748","2834","Lab Hold","34681"
"http://data.parliament.uk/resources/382779","Clwyd West","2010 General Election","57913","6419","Con Hold","38111"
"http://data.parliament.uk/resources/382781","Colchester","2010 General Election","74064","6982","LD Hold","46139"
"http://data.parliament.uk/resources/382783","Colne Valley","2010 General Election","80060","4837","Con Gain","55296"
"http://data.parliament.uk/resources/382785","Congleton","2010 General Election","72280","7063","Con Hold","50780"
"http://data.parliament.uk/resources/382787","Copeland","2010 General Election","63149","3833","Lab Hold","42787"
"http://data.parliament.uk/resources/382789","Corby","2010 General Election","78024","1895","Con Gain","54236"
"http://data.parliament.uk/resources/382792","Coventry North East","2010 General Election","73035","11775","Lab Hold","43383"
"http://data.parliament.uk/resources/382794","Coventry North West","2010 General Election","72871","6288","Lab Hold","46560"
"http://data.parliament.uk/resources/382796","Coventry South","2010 General Election","73652","3845","Lab Hold","45924"
"http://data.parliament.uk/resources/382798","Crawley","2010 General Election","72781","5928","Con Gain","47504"
"http://data.parliament.uk/resources/382800","Crewe and Nantwich","2010 General Election","79728","6046","Con Gain","51084"
"http://data.parliament.uk/resources/382802","Croydon Central","2010 General Election","76349","2879","Con Gain","49667"
"http://data.parliament.uk/resources/382804","Croydon North","2010 General Election","85216","16481","Lab Hold","51676"
"http://data.parliament.uk/resources/382807","Croydon South","2010 General Election","81303","15818","Con Hold","56322"
"http://data.parliament.uk/resources/382809","Cynon Valley","2010 General Election","50650","9617","Lab Hold","29876"
"http://data.parliament.uk/resources/382811","Dagenham and Rainham","2010 General Election","69764","2630","Lab Hold","44232"
"http://data.parliament.uk/resources/382813","Darlington","2010 General Election","68168","3388","Lab Hold","42896"
"http://data.parliament.uk/resources/382815","Dartford","2010 General Election","76271","10628","Con Gain","50080"
"http://data.parliament.uk/resources/382817","Daventry","2010 General Election","71452","19188","Con Hold","51774"
"http://data.parliament.uk/resources/382819","Delyn","2010 General Election","53470","2272","Lab Hold","36984"
"http://data.parliament.uk/resources/382821","Denton and Reddish","2010 General Election","66330","9831","Lab Hold","37635"
"http://data.parliament.uk/resources/382823","Derby North","2010 General Election","71474","613","Lab Hold","45080"
"http://data.parliament.uk/resources/382825","Derby South","2010 General Election","70999","6122","Lab Hold","41188"
"http://data.parliament.uk/resources/382827","Derbyshire Dales","2010 General Election","63376","13866","Con Hold","46780"
"http://data.parliament.uk/resources/382829","Devizes","2010 General Election","67379","13005","Con Hold","46340"
"http://data.parliament.uk/resources/382831","Dewsbury","2010 General Election","78910","1526","Con Gain","54008"
"http://data.parliament.uk/resources/382833","Don Valley","2010 General Election","72597","3595","Lab Hold","43420"
"http://data.parliament.uk/resources/382835","Doncaster Central","2010 General Election","72985","6229","Lab Hold","41745"
"http://data.parliament.uk/resources/382837","Doncaster North","2010 General Election","71681","10909","Lab Hold","41483"
"http://data.parliament.uk/resources/382839","Dover","2010 General Election","71833","5274","Con Gain","50385"
"http://data.parliament.uk/resources/382841","Dudley North","2010 General Election","60838","649","Lab Hold","38602"
"http://data.parliament.uk/resources/382843","Dudley South","2010 General Election","60572","3856","Con Gain","38165"
"http://data.parliament.uk/resources/382845","Dulwich and West Norwood","2010 General Election","72817","9365","Lab Hold","48214"
"http://data.parliament.uk/resources/382847","Dwyfor Meirionnydd","2010 General Election","45354","6367","PC Hold","28906"
"http://data.parliament.uk/resources/382849","Ealing Central and Acton","2010 General Election","70251","3716","Con Gain","47200"
"http://data.parliament.uk/resources/382851","Ealing North","2010 General Election","73104","9301","Lab Hold","47678"
"http://data.parliament.uk/resources/382853","Ealing, Southall","2010 General Election","66970","9291","Lab Hold","42756"
"http://data.parliament.uk/resources/382855","Easington","2010 General Election","63879","14982","Lab Hold","34914"
"http://data.parliament.uk/resources/382857","East Antrim","2010 General Election","60204","6770","DU Hold","30502"
"http://data.parliament.uk/resources/382859","East Devon","2010 General Election","73109","9114","Con Hold","53092"
"http://data.parliament.uk/resources/382861","East Ham","2010 General Election","90674","27826","Lab Hold","50373"
"http://data.parliament.uk/resources/382863","East Hampshire","2010 General Election","72262","13497","Con Hold","51317"
"http://data.parliament.uk/resources/382865","East Londonderry","2010 General Election","63220","5355","DUP Hold","34950"
"http://data.parliament.uk/resources/382867","East Surrey","2010 General Election","76855","16874","Con Hold","54640"
"http://data.parliament.uk/resources/382869","East Worthing and Shoreham","2010 General Election","74001","11105","Con Hold","48397"
"http://data.parliament.uk/resources/382871","East Yorkshire","2010 General Election","80105","13486","Con Hold","51254"
"http://data.parliament.uk/resources/382873","Eastbourne","2010 General Election","77840","3435","LD Gain","52124"
"http://data.parliament.uk/resources/382875","Eastleigh","2010 General Election","77436","3864","LD Hold","53650"
"http://data.parliament.uk/resources/382878","Eddisbury","2010 General Election","72100","13255","Con Hold","45414"
"http://data.parliament.uk/resources/382880","Edmonton","2010 General Election","63904","9613","Lab Hold","40377"
"http://data.parliament.uk/resources/382882","Ellesmere Port and Neston","2010 General Election","66509","4331","Lab Hold","44233"
"http://data.parliament.uk/resources/382884","Elmet and Rothwell","2010 General Election","77724","4521","Con Gain","55789"
"http://data.parliament.uk/resources/382886","Eltham","2010 General Election","62590","1663","Lab Hold","41964"
"http://data.parliament.uk/resources/382888","Enfield North","2010 General Election","66261","1692","Con Hold","44453"
"http://data.parliament.uk/resources/382890","Enfield, Southgate","2010 General Election","64139","7626","Con Hold","44352"
"http://data.parliament.uk/resources/382892","Epping Forest","2010 General Election","72186","15131","Con Hold","46584"
"http://data.parliament.uk/resources/382894","Epsom and Ewell","2010 General Election","79908","16134","Con Hold","54955"
"http://data.parliament.uk/resources/382896","Erewash","2010 General Election","69655","2501","Con Gain","47642"
"http://data.parliament.uk/resources/382898","Erith and Thamesmead","2010 General Election","69900","5703","Lab Hold","42476"
"http://data.parliament.uk/resources/382900","Esher and Walton","2010 General Election","75338","18593","Con Hold","54543"
"http://data.parliament.uk/resources/382902","Exeter","2010 General Election","77158","2721","Lab Hold","52247"
"http://data.parliament.uk/resources/382904","Fareham","2010 General Election","75915","17092","Con Hold","54345"
"http://data.parliament.uk/resources/382906","Faversham and Mid Kent","2010 General Election","68858","17088","Con Hold","46712"
"http://data.parliament.uk/resources/382908","Feltham and Heston","2010 General Election","81058","4658","Lab Hold","48536"
"http://data.parliament.uk/resources/382911","Fermanagh and South Tyrone","2010 General Election","67908","4","SF Hold","46803"
"http://data.parliament.uk/resources/382913","Filton and Bradley Stoke","2010 General Election","69003","6914","Con Hold","48301"
"http://data.parliament.uk/resources/382915","Finchley and Golders Green","2010 General Election","70722","5809","Con Hold","47157"
"http://data.parliament.uk/resources/382917","Folkestone and Hythe","2010 General Election","78005","10122","Con Hold","52800"
"http://data.parliament.uk/resources/382919","Forest of Dean","2010 General Election","68419","11064","Con Hold","48763"
"http://data.parliament.uk/resources/382921","Foyle","2010 General Election","65843","4824","SDLP Hold","37889"
"http://data.parliament.uk/resources/382923","Fylde","2010 General Election","65926","13185","Con Hold","43690"
"http://data.parliament.uk/resources/382925","Gainsborough","2010 General Election","72939","10559","Con Hold","49251"
"http://data.parliament.uk/resources/382927","Garston and Halewood","2010 General Election","71312","16877","Lab Hold","42825"
"http://data.parliament.uk/resources/382929","Gateshead","2010 General Election","66492","12549","Lab Hold","38257"
"http://data.parliament.uk/resources/382931","Gedling","2010 General Election","70866","1859","Lab Hold","48190"
"http://data.parliament.uk/resources/382933","Gillingham and Rainham","2010 General Election","70814","8680","Con Gain","46786"
"http://data.parliament.uk/resources/382935","Gloucester","2010 General Election","79321","2420","Con Gain","50764"
"http://data.parliament.uk/resources/382937","Gosport","2010 General Election","72816","14413","Con Hold","46939"
"http://data.parliament.uk/resources/382939","Gower","2010 General Election","61696","2683","Lab Hold","41671"
"http://data.parliament.uk/resources/382941","Grantham and Stamford","2010 General Election","78008","14826","Con Hold","52799"
"http://data.parliament.uk/resources/382943","Gravesham","2010 General Election","70195","9312","Con Hold","47303"
"http://data.parliament.uk/resources/382945","Great Grimsby","2010 General Election","61229","714","Lab Hold","32954"
"http://data.parliament.uk/resources/382947","Great Yarmouth","2010 General Election","70315","4276","Con Gain","43057"
"http://data.parliament.uk/resources/382949","Greenwich and Woolwich","2010 General Election","65489","10153","Lab Hold","41188"
"http://data.parliament.uk/resources/382951","Guildford","2010 General Election","77082","7782","Con Hold","55567"
