"uri","date","title","uin"
"http://data.parliament.uk/resources/1714834","2024-04-30","Digital Markets, Competition and Consumers Bill: motion to disagree with Lords Amendment 104","CD:2024-04-30:1809"
"http://data.parliament.uk/resources/1714835","2024-04-30","Digital Markets, Competition and Consumers Bill: motion to disagree with Lords Amendment 26","CD:2024-04-30:1807"
"http://data.parliament.uk/resources/1714492","2024-04-29","Post Office (Horizon System) Offences Bill: Instruction (Scotland)","CD:2024-04-29:1804"
"http://data.parliament.uk/resources/1713383","2024-04-24","the draft Economic Growth (Regulatory Functions) (Amendment) Order 2024","CD:2024-04-24:1800"
"http://data.parliament.uk/resources/1713392","2024-04-24","Renters (Reform) Bill Report Stage: New Clause 15","CD:2024-04-24:1801"
"http://data.parliament.uk/resources/1713393","2024-04-24","Renters (Reform) Bill Report Stage: New Clause 30","CD:2024-04-24:1802"
"http://data.parliament.uk/resources/1713394","2024-04-24","Renters (Reform) Bill Report Stage: Amendment 28","CD:2024-04-24:1803"
"http://data.parliament.uk/resources/1712607","2024-04-22","Safety of Rwanda (Asylum and Immigration) Bill: motion to disagree with Lords Amendment 3G","CD:2024-04-22:1794"
"http://data.parliament.uk/resources/1712608","2024-04-22","Rwanda Bill motion to disagree with Lords amendment 10F","CD:2024-04-22:1795"
"http://data.parliament.uk/resources/1712610","2024-04-22","Reasons Committee Rwanda Bill","CD:2024-04-22:1796"
"http://data.parliament.uk/resources/1712612","2024-04-22","Economic Activity of Public Bodies Carry-Over","CD:2024-04-22:1797"
"http://data.parliament.uk/resources/1712619","2024-04-22","Safety of Rwanda (Asylum and Immigration) Bill: motion to disagree with Lords Amendment 3J","CD:2024-04-22:1798"
"http://data.parliament.uk/resources/1712620","2024-04-22","Motion to appoint a Reasons Committee in respect of Lords Amendment 3J","CD:2024-04-22:1799"
"http://data.parliament.uk/resources/1701700","2024-04-17","Safety of Rwanda Bill: motion to disagree with Lords  Amendment 1D","CD:2024-04-17:1788"
"http://data.parliament.uk/resources/1701702","2024-04-17","Safety of Rwanda (Asylum and Immigration) Bill: motion to disagree with Lords Amendment 3E","CD:2024-04-17:1789"
"http://data.parliament.uk/resources/1701703","2024-04-17","Safety of Rwanda Bill: That this House disagrees with the Lords in their Amendment 6D","CD:2024-04-17:1790"
"http://data.parliament.uk/resources/1701704","2024-04-17","Safety of Rwanda Bill: motion to disagree with Lords Amendment 10D","CD:2024-04-17:1791"
"http://data.parliament.uk/resources/1701715","2024-04-17","Finance (No. 2) Bill: Reasoned Amendment to Second Reading","CD:2024-04-17:1792"
"http://data.parliament.uk/resources/1701716","2024-04-17","Finance (No. 2) Bill: Second Reading","CD:2024-04-17:1793"
"http://data.parliament.uk/resources/1701258","2024-04-16","Tobacco and Vapes Bill: Second Reading","CD:2024-04-16:1787"
"http://data.parliament.uk/resources/1700769","2024-04-15","Rwanda Bill: Motion to disagree with Lords Amendment 1B","CD:2024-04-15:1781"
"http://data.parliament.uk/resources/1700788","2024-04-15","Rwanda Bill: Motion to disagree with Lords Amendments 3B and 3C","CD:2024-04-15:1782"
"http://data.parliament.uk/resources/1700789","2024-04-15","That this House disagrees with the Lords in their Amendment 6B","CD:2024-04-15:1783"
"http://data.parliament.uk/resources/1700790","2024-04-15","That this House disagrees with the Lords in ther Amendment 7B","CD:2024-04-15:1784"
"http://data.parliament.uk/resources/1700835","2024-04-15","That this House insists on its disagreement with the Lords in their Amendment 9 but proposes Amendment (a) in lieu","CD:2024-04-15:1785"
"http://data.parliament.uk/resources/1700837","2024-04-15","That this House disagrees with the Lords in their Amendment 10B","CD:2024-04-15:1786"
"http://data.parliament.uk/resources/1698309","2024-03-25","Investigatory Powers (Amendment) Bill [Lords] Report Stage: New Clause 1","CD:2024-03-25:1777"
"http://data.parliament.uk/resources/1698310","2024-03-25","Investigatory Powers (Amendment) Bill [Lords] Report Stage: New Clause 2","CD:2024-03-25:1778"
"http://data.parliament.uk/resources/1698311","2024-03-25","Investigatory Powers (Amendment) Bill [Lords] Report Stage: Amendment 7","CD:2024-03-25:1779"
"http://data.parliament.uk/resources/1698312","2024-03-25","Investigatory Powers (Amendment) Bill [Lords]: Third Reading","CD:2024-03-25:1780"
"http://data.parliament.uk/resources/1698061","2024-03-22","Hunting Trophies Bill 2R","CD:2024-03-22:1776"
"http://data.parliament.uk/resources/1696950","2024-03-19","Trade (Comprehensive and Progressive Agreement for Trans-Pacific Partnership) Bill [Lords]: New Clause 4","CD:2024-03-19:1772"
"http://data.parliament.uk/resources/1696953","2024-03-19","Trade (Comprehensive and Progressive Agreement for Trans-Pacific Partnership) Bill [Lords]: New Clause 5","CD:2024-03-19:1773"
"http://data.parliament.uk/resources/1696954","2024-03-19","Trade (Comprehensive and Progressive Agreement for Trans-Pacific Partnership) Bill [Lords]: New Clause 10","CD:2024-03-19:1774"
"http://data.parliament.uk/resources/1696955","2024-03-19","Trade (Comprehensive and Progressive Agreement for Trans-Pacific Partnership) Bill [Lords]: New Clause 12","CD:2024-03-19:1775"
"http://data.parliament.uk/resources/1696545","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 1","CD:2024-03-18:1762"
"http://data.parliament.uk/resources/1696546","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 2","CD:2024-03-18:1763"
"http://data.parliament.uk/resources/1696547","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 3","CD:2024-03-18:1764"
"http://data.parliament.uk/resources/1696548","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 4","CD:2024-03-18:1765"
"http://data.parliament.uk/resources/1696598","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 5","CD:2024-03-18:1766"
"http://data.parliament.uk/resources/1696599","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 6","CD:2024-03-18:1767"
"http://data.parliament.uk/resources/1696600","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 7","CD:2024-03-18:1768"
"http://data.parliament.uk/resources/1696601","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 8","CD:2024-03-18:1769"
"http://data.parliament.uk/resources/1696603","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 9","CD:2024-03-18:1770"
"http://data.parliament.uk/resources/1696604","2024-03-18","Safety of Rwanda (Asylum and Immigration) Bill: Motion to disagree with Lords Amendment 10","CD:2024-03-18:1771"
"http://data.parliament.uk/resources/1696115","2024-03-14","Supplementary Estimates 2023-24","CD:2024-03-14:1761"
"http://data.parliament.uk/resources/1696118","2024-03-14","Supplementary Estimate 2023-24 Home Office: amendment (a)","CD:2024-03-14:1760"
"http://data.parliament.uk/resources/1695633","2024-03-13","National Insurance Contributions (Reduction in Rates) (No. 2) Bill: Reasoned Amendment to Second Reading","CD:2024-03-13:1754"
"http://data.parliament.uk/resources/1695634","2024-03-13","National Insurance Contributions (Reduction in Rates) (No. 2) Bill: Second Reading ","CD:2024-03-13:1755"
"http://data.parliament.uk/resources/1695636","2024-03-13","National Insurance Contributions (Reduction in Rates) (No. 2) Bill Committee: New Clause 1 ","CD:2024-03-13:1756"
"http://data.parliament.uk/resources/1695637","2024-03-13","National Insurance Contributions (Reduction in Rates) (No. 2) Bill Committee: New Clause 2","CD:2024-03-13:1757"
"http://data.parliament.uk/resources/1695643","2024-03-13","National Insurance Contributions (Reduction in Rates) (No. 2) Bill: Third Reading","CD:2024-03-13:1758"
"http://data.parliament.uk/resources/1695645","2024-03-13","Draft Strikes (Minimum Service Levels: Fire and Rescue Services) (England) Regulations 2024","CD:2024-03-13:1759"
"http://data.parliament.uk/resources/1695221","2024-03-12","Ways and Means: Income Tax (Charge)","CD:2024-03-12:1752"
"http://data.parliament.uk/resources/1695222","2024-03-12","Ways and Means: Capital Gains Tax","CD:2024-03-12:1753"
"http://data.parliament.uk/resources/1694024","2024-03-06","Motion under the Provisional Collection of Taxes Act 1968","CD:2024-03-06:1751"
"http://data.parliament.uk/resources/1692954","2024-03-01","Motion to sit in private","CD:2024-03-01:1749"
"http://data.parliament.uk/resources/1692961","2024-03-01","Closure","CD:2024-03-01:1750"
"http://data.parliament.uk/resources/1691977","2024-02-27","Leasehold and Freehold Reform Bill Report Stage: New Clause 1","CD:2024-02-27:1744"
"http://data.parliament.uk/resources/1691978","2024-02-27","Leasehold and Freehold Reform Bill Report Stage: New Clause 5","CD:2024-02-27:1745"
"http://data.parliament.uk/resources/1691980","2024-02-27","Leasehold and Freehold Reform Bill Report Stage: New Clause 39","CD:2024-02-27:1746"
"http://data.parliament.uk/resources/1691981","2024-02-27","Leasehold and Freehold Reform Bill Report Stage: Amendment 4","CD:2024-02-27:1747"
"http://data.parliament.uk/resources/1691984","2024-02-27","Leasehold and Freehold Reform Bill Report Stage: Amendment 8","CD:2024-02-27:1748"
"http://data.parliament.uk/resources/1690651","2024-02-21","Motor vehicles (driving licences) (reform): Ten Minute Rule Motion","CD:2024-02-21:1742"
"http://data.parliament.uk/resources/1690707","2024-02-21","Motion to sit in private","CD:2024-02-21:1743"
"http://data.parliament.uk/resources/1690325","2024-02-20","Offshore Petroleum Licensing Bill Committee: Amendment 10","CD:2024-02-20:1739"
"http://data.parliament.uk/resources/1690326","2024-02-20","Offshore Petroleum Licensing Bill Committee: Amendment 17","CD:2024-02-20:1740"
"http://data.parliament.uk/resources/1690330","2024-02-20","Offshore Petroleum Licensing Bill: Third Reading","CD:2024-02-20:1741"
"http://data.parliament.uk/resources/1687727","2024-02-06","Opposition day: Ministerial severance (reform)","CD:2024-02-06:1738"
"http://data.parliament.uk/resources/1687325","2024-02-05","Finance Bill Report Stage: New Clause 6","CD:2024-02-05:1735"
"http://data.parliament.uk/resources/1687326","2024-02-05","Finance Bill Report Stage: New Clause 7","CD:2024-02-05:1736"
"http://data.parliament.uk/resources/1687329","2024-02-05","Finance Bill: Third Reading","CD:2024-02-05:1737"
"http://data.parliament.uk/resources/1686189","2024-01-31","Motion on Draft Electoral Commission Strategy and Policy Statement","CD:2024-01-31:1733"
"http://data.parliament.uk/resources/1686200","2024-01-31","Draft Trade Union (Deduction of Union Subscriptions from Wages in the Public Sector) Regulations 2023","CD:2024-01-31:1734"
"http://data.parliament.uk/resources/1685778","2024-01-30","Media Bill Report Stage: New Clause 13","CD:2024-01-30:1729"
"http://data.parliament.uk/resources/1685782","2024-01-30","Media Bill Report Stage: New Clause 16","CD:2024-01-30:1730"
"http://data.parliament.uk/resources/1685785","2024-01-30","Media Bill Report Stage: Amendment 88","CD:2024-01-30:1731"
"http://data.parliament.uk/resources/1685786","2024-01-30","Media Bill Report Stage: Amendment 2","CD:2024-01-30:1732"
"http://data.parliament.uk/resources/1684336","2024-01-23","Opposition day: Children not in school (national register and support)","CD:2024-01-23:1727"
"http://data.parliament.uk/resources/1684340","2024-01-23","Opposition day: Protecting steel in the UK","CD:2024-01-23:1728"
"http://data.parliament.uk/resources/1683918","2024-01-22","Offshore Petroleum Licensing Bill: Reasoned Amendment to Second Reading","CD:2024-01-22:1725"
"http://data.parliament.uk/resources/1683919","2024-01-22","Offshore Petroleum Licensing Bill: Second Reading","CD:2024-01-22:1726"
"http://data.parliament.uk/resources/1682764","2024-01-17","draft Immigration (Employment of Adults Subject to Immigration Control) (Maximum Penalty) (Amendment) Order 2023","CD:2024-01-17:1717"
"http://data.parliament.uk/resources/1682765","2024-01-17","draft Immigration Act 2014 (Residential Accommodation) (Maximum Penalty) Order 2023","CD:2024-01-17:1716"
"http://data.parliament.uk/resources/1682782","2024-01-17","Safety of Rwanda (Asylum and Immigration) Bill Committee: Clause 3 stand part","CD:2024-01-17:1718"
"http://data.parliament.uk/resources/1682784","2024-01-17","Safety of Rwanda (Asylum and Immigration) Bill Committee: Clauses 5, 6, 7 and 8 stand part","CD:2024-01-17:1720"
"http://data.parliament.uk/resources/1682785","2024-01-17","Safety of Rwanda (Asylum and Immigration) Bill Committee: Amendment 23","CD:2024-01-17:1719"
"http://data.parliament.uk/resources/1682786","2024-01-17","Safety of Rwanda (Asylum and Immigration) Bill Committee: Amendment 36","CD:2024-01-17:1721"
"http://data.parliament.uk/resources/1682788","2024-01-17","Safety of Rwanda (Asylum and Immigration) Bill Committee: Clauses 9 and 10 stand part","CD:2024-01-17:1722"
"http://data.parliament.uk/resources/1682789","2024-01-17","Safety of Rwanda (Asylum and Immigration) Bill Committee: New Clause 8","CD:2024-01-17:1723"
"http://data.parliament.uk/resources/1682790","2024-01-17","Safety of Rwanda (Asylum and Immigration) Bill Committee: Third reading","CD:2024-01-17:1724"
"http://data.parliament.uk/resources/1682319","2024-01-16","Scotland (Self-Determination): Ten Minute Rule Motion","CD:2024-01-16:1709"
"http://data.parliament.uk/resources/1682379","2024-01-16","Safety of Rwanda (Asylum and Immigration) Bill: Committee: Amendment 45","CD:2024-01-16:1710"
"http://data.parliament.uk/resources/1682380","2024-01-16","Safety of Rwanda (Asylum and Immigration) Bill Committee: Amendment 10","CD:2024-01-16:1711"
"http://data.parliament.uk/resources/1682381","2024-01-16","Safety of Rwanda (Asylum and Immigration) Bill Committee: Clause 2 stand part","CD:2024-01-16:1712"
"http://data.parliament.uk/resources/1682383","2024-01-16","Safety of Rwanda (Asylum and Immigration) Bill Committee: Clause 4 stand part","CD:2024-01-16:1714"
"http://data.parliament.uk/resources/1682384","2024-01-16","Safety of Rwanda (Asylum and Immigration) Bill Committee: Amendment 19","CD:2024-01-16:1713"
"http://data.parliament.uk/resources/1682389","2024-01-16","Safety of Rwanda (Asylum and Immigration) Bill Committee: New Clause 6","CD:2024-01-16:1715"
"http://data.parliament.uk/resources/1681857","2024-01-15","Animal Welfare (Livestock Exports) Committee Stage: Amendment 5","CD:2024-01-15:1706"
"http://data.parliament.uk/resources/1681862","2024-01-15","Nationality, Immigration and Asylum Act 2002 (Amendment of List of Safe States) Regulations 2024","CD:2024-01-15:1707"
"http://data.parliament.uk/resources/1681863","2024-01-15","Immigration (Health Charge) (Amendment) Order 2023","CD:2024-01-15:1708"
"http://data.parliament.uk/resources/1681034","2024-01-10","Finance Bill Committee Stage: New Clause 1","CD:2024-01-10:1700"
"http://data.parliament.uk/resources/1681035","2024-01-10","Finance Bill Committee Stage: New Clause 2","CD:2024-01-10:1701"
"http://data.parliament.uk/resources/1681036","2024-01-10","Finance Bill Committee Stage: New Clause 5","CD:2024-01-10:1702"
"http://data.parliament.uk/resources/1681044","2024-01-10","Finance Bill Committee Stage: New Clause 7","CD:2024-01-10:1703"
"http://data.parliament.uk/resources/1681051","2024-01-10","Economic Activity of Public Bodies (Overseas Matters) Bill: Reasoned amendment on Third Reading","CD:2024-01-10:1704"
"http://data.parliament.uk/resources/1681052","2024-01-10","Economic Activity of Public Bodies (Overseas Matters) Bill: Third Reading","CD:2024-01-10:1705"
"http://data.parliament.uk/resources/1680722","2024-01-09","Opposition Day: NHS Dentistry","CD:2024-01-09:1698"
"http://data.parliament.uk/resources/1680733","2024-01-09","Opposition day: cost of the Government's Rwanda plan and administration of the asylum system","CD:2024-01-09:1699"
"http://data.parliament.uk/resources/1677670","2023-12-13","Draft Representation of the People (Overseas Electors etc.) (Amendment) (Northern Ireland) Regulations 2023","CD:2023-12-13:1693"
"http://data.parliament.uk/resources/1677671","2023-12-13","Draft Equality Act 2010 (Amendment) Regulations 2023","CD:2023-12-13:1694"
"http://data.parliament.uk/resources/1677672","2023-12-13","Draft Representation of the People (Overseas Electors etc.) (Amendment) Regulations 2023","CD:2023-12-13:1695"
"http://data.parliament.uk/resources/1677674","2023-12-13","Finance Bill: Reasoned Amendment to Second Reading ","CD:2023-12-13:1696"
"http://data.parliament.uk/resources/1677675","2023-12-13","Finance Bill Second Reading","CD:2023-12-13:1697"
"http://data.parliament.uk/resources/1677237","2023-12-12","Safety of Rwanda (Asylum and Immigration) Bill: Reasoned Amendment to Second Reading","CD:2023-12-12:1690"
"http://data.parliament.uk/resources/1677239","2023-12-12","Safety of Rwanda (Asylum and Immigration) Bill: Programme Motion","CD:2023-12-12:1692"
"http://data.parliament.uk/resources/1677240","2023-12-12","Safety of Rwanda (Asylum and Immigration) Bill: Second Reading","CD:2023-12-12:1691"
"http://data.parliament.uk/resources/1674973","2023-12-04","Victims and Prisoners Bill Report Stage: New Clause 10","CD:2023-12-04:1685"
"http://data.parliament.uk/resources/1674974","2023-12-04","Victims and Prisoners Bill Report Stage: New Clause 14","CD:2023-12-04:1686"
"http://data.parliament.uk/resources/1674975","2023-12-04","Victims and Prisoners Bill Report Stage: New Clause 27","CD:2023-12-04:1687"
"http://data.parliament.uk/resources/1674976","2023-12-04","Victims and Prisoners Bill Report Stage: Amendment 33","CD:2023-12-04:1688"
"http://data.parliament.uk/resources/1674980","2023-12-04","Draft Vehicle Emissions Trading Schemes Order 2023","CD:2023-12-04:1689"
"http://data.parliament.uk/resources/1673831","2023-11-29","Data Protection and Digital Information Bill: Re-committal motion","CD:2023-11-29:1676"
"http://data.parliament.uk/resources/1673872","2023-11-29","Draft Strikes (Minimum Service Levels: NHS Ambulance Services and the NHS Patient Transport Service) Regulations 2023","CD:2023-11-29:1675"
"http://data.parliament.uk/resources/1673874","2023-11-29","Data Protection and Digital Information Bill Report Stage: Amendment 11","CD:2023-11-29:1677"
"http://data.parliament.uk/resources/1673879","2023-11-29","Data Protection and Digital Information Bill Report Stage: Amendment 224","CD:2023-11-29:1678"
"http://data.parliament.uk/resources/1673882","2023-11-29","Data Protection and Digital Information Bill Report Stage: Amendment 5","CD:2023-11-29:1679"
"http://data.parliament.uk/resources/1673886","2023-11-29","Data Protection and Digital Information Bill Report Stage: Amendment 1","CD:2023-11-29:1680"
"http://data.parliament.uk/resources/1673887","2023-11-29","Data Protection and Digital Information Bill Report Stage: Amendment 218","CD:2023-11-29:1681"
"http://data.parliament.uk/resources/1673888","2023-11-29","Data Protection and Digital Information Bill Report Stage: New Schedule 1","CD:2023-11-29:1682"
"http://data.parliament.uk/resources/1673889","2023-11-29","Data Protection and Digital Information Bill: Third Reading","CD:2023-11-29:1683"
"http://data.parliament.uk/resources/1673466","2023-11-28","Draft Code of Practice on Reasonable Steps to be taken by a Trade Union (Minimum Service Levels)","CD:2023-11-28:1672"
"http://data.parliament.uk/resources/1673467","2023-11-28","Draft Strikes (Minimum Service Levels: Border Security) Regulations 2023","CD:2023-11-28:1673"
"http://data.parliament.uk/resources/1673468","2023-11-28","Draft Strikes (Minimum Service Levels: Passenger Railway Services) Regulations 2023","CD:2023-11-28:1674"
"http://data.parliament.uk/resources/1671225","2023-11-20","Digital Markets, Competition and Consumers Bill: Amendment 188","CD:2023-11-20:1669"
"http://data.parliament.uk/resources/1671226","2023-11-20","Digital Markets, Competition and Consumers Bill: Amendment 187","CD:2023-11-20:1668"
"http://data.parliament.uk/resources/1671300","2023-11-20","Digital Markets, Competition and Consumers Bill: New Clause 29","CD:2023-11-20:1670"
"http://data.parliament.uk/resources/1671301","2023-11-20","Digital Markets, Competition and Consumers Bill: New Clause 30","CD:2023-11-20:1671"
"http://data.parliament.uk/resources/1670232","2023-11-15","King's Speech Motion for an Address: amendment (r)","CD:2023-11-15:1665"
"http://data.parliament.uk/resources/1670233","2023-11-15","King's Speech Motion for an Address: Amendment (h)","CD:2023-11-15:1666"
"http://data.parliament.uk/resources/1670235","2023-11-15","King's Speech Motion for an Address: Amendment (k)","CD:2023-11-15:1667"
"http://data.parliament.uk/resources/1669817","2023-11-14","King's Speech Motion for an Address: amendment (m)","CD:2023-11-14:1664"
"http://data.parliament.uk/resources/1666962","2023-10-25","Economic Crime and Corporate Transparency Bill: motion to insist on Amendment 151A and disagree with Lords Amendments 151E and 151F","CD:2023-10-25:1658"
"http://data.parliament.uk/resources/1666963","2023-10-25","Economic Crime and Corporate Transparency Bill: motion to insist on Amendment 161A and disagree with Lords Amendment 161D","CD:2023-10-25:1659"
"http://data.parliament.uk/resources/1666964","2023-10-25","Economic Crime and Corporate Transparency Bill: Amendment (a) to motion to insist on Amendment 151A and disagree with Lords Amendments 151E and 151F","CD:2023-10-25:1657"
"http://data.parliament.uk/resources/1667004","2023-10-25","Economic Activity of Public Bodies (Overseas Matters) Bill Report Stage: Amendment 14","CD:2023-10-25:1660"
"http://data.parliament.uk/resources/1667006","2023-10-25","Economic Activity of Public Bodies (Overseas Matters) Bill Report Stage: Amendment 13","CD:2023-10-25:1661"
"http://data.parliament.uk/resources/1667007","2023-10-25","Economic Activity of Public Bodies (Overseas Matters) Bill Report Stage: Amendment 7","CD:2023-10-25:1662"
"http://data.parliament.uk/resources/1667008","2023-10-25","Economic Activity of Public Bodies (Overseas Matters) Bill Report Stage: Amendment 28 ","CD:2023-10-25:1663"
"http://data.parliament.uk/resources/1666820","2023-10-24","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 22B","CD:2023-10-24:1655"
"http://data.parliament.uk/resources/1666821","2023-10-24","Levelling up and Regeneration Bill: motion to insist on disagreement with Lords Amendment 45 and to propose amendment (a) in lieu","CD:2023-10-24:1656"
"http://data.parliament.uk/resources/1665628","2023-10-18","Energy Bill [Lords]: motion to disagree with Lords Amendment 274B","CD:2023-10-18:1654"
"http://data.parliament.uk/resources/1665181","2023-10-17","Devolution (Employment) (Scotland): Ten Minute Rule Motion","CD:2023-10-17:1636"
"http://data.parliament.uk/resources/1665229","2023-10-17","Levelling up and Regeneration Bill: Amendment (a) to Lords Amendment 231","CD:2023-10-17:1637"
"http://data.parliament.uk/resources/1665236","2023-10-17","Levelling up and Regeneration Bill: Motion to disagree with Lords Amendment 1","CD:2023-10-17:1638"
"http://data.parliament.uk/resources/1665237","2023-10-17","Levelling up and Regeneration Bill: Motion to disagree with Lords Amendment 2","CD:2023-10-17:1639"
"http://data.parliament.uk/resources/1665238","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 4","CD:2023-10-17:1640"
"http://data.parliament.uk/resources/1665239","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 3","CD:2023-10-17:1641"
"http://data.parliament.uk/resources/1665240","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 10","CD:2023-10-17:1642"
"http://data.parliament.uk/resources/1665241","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 13","CD:2023-10-17:1643"
"http://data.parliament.uk/resources/1665242","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 22","CD:2023-10-17:1644"
"http://data.parliament.uk/resources/1665243","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 44","CD:2023-10-17:1645"
"http://data.parliament.uk/resources/1665245","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 45","CD:2023-10-17:1646"
"http://data.parliament.uk/resources/1665246","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 81","CD:2023-10-17:1647"
"http://data.parliament.uk/resources/1665247","2023-10-17","	Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 82","CD:2023-10-17:1648"
"http://data.parliament.uk/resources/1665248","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 199","CD:2023-10-17:1649"
"http://data.parliament.uk/resources/1665249","2023-10-17","	Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 241","CD:2023-10-17:1650"
"http://data.parliament.uk/resources/1665250","2023-10-17","	Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 244","CD:2023-10-17:1651"
"http://data.parliament.uk/resources/1665251","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 273","CD:2023-10-17:1652"
"http://data.parliament.uk/resources/1665252","2023-10-17","Levelling-up and Regeneration Bill: motion to disagree with Lords Amendment 329","CD:2023-10-17:1653"
"http://data.parliament.uk/resources/1660325","2023-09-13","Procurement Bill [Lords]: Motion to disagree with Lords Amendment 102B","CD:2023-09-13:1634"
"http://data.parliament.uk/resources/1660363","2023-09-13","Economic Crime and Corporate Transparency Bill: Motion to disagree with 151B and 151C and to insist on 151A","CD:2023-09-13:1635"
"http://data.parliament.uk/resources/1660364","2023-09-13","Draft Windsor Framework (Enforcement etc.) Regulations 2023","CD:2023-09-13:1633"
"http://data.parliament.uk/resources/1659952","2023-09-12","Representation of the People (Postal and Proxy Voting etc.) (Amendment) Regulations 2023","CD:2023-09-12:1632"
"http://data.parliament.uk/resources/1659953","2023-09-12","Misuse of Drugs Act 1971 (Amendment) Order 2023","CD:2023-09-12:1631"
"http://data.parliament.uk/resources/1658500","2023-09-06","Northern Ireland Troubles (Legacy and Reconciliation) Bill: Motion to disagree","CD:2023-09-06:1629"
"http://data.parliament.uk/resources/1658539","2023-09-06","Opposition day: Safety of School Buildings","CD:2023-09-06:1630"
"http://data.parliament.uk/resources/1658092","2023-09-05","Energy Bill [Lords] Report Stage: New Clause 12","CD:2023-09-05:1623"
"http://data.parliament.uk/resources/1658093","2023-09-05","Energy Bill [Lords] Report Stage: New Clause 39","CD:2023-09-05:1624"
"http://data.parliament.uk/resources/1658094","2023-09-05","Energy Bill [Lords] Report Stage: New Clause 57","CD:2023-09-05:1625"
